Tactic, Method, Execution time, Generated Nodes, Invalid nodes, Valid nodes, Verification Failure, Verification success, Boogie calls, Boogie Wait, Dafny Calls, Dafny Wait
mytac, Lemma_IsPath_Closure, 38, 1667, 173, 7, 6, 1, 7, 31, 180, 4
mytac2, Lemma_IsPath_R, 46935, 3477381, 3425465, 43, 42, 1, 43, 126, 3425508, 34900
